,Material_Class,Composition_Formula,Hydrogen_Weight_Percent,Heat_of_Formation_kJperMolH2,Temperature_oC,Pressure_Atmospheres_Absolute,Entropy_of_Formation_JperMolH2perK,Equilibrium_Pressure_25C,LnEquilibrium_Pressure_25C,HtoM,Reference
172,AB5,Ce0.8Pr0.2Co5,0.6,37.0,20.0,1.42,129.13066515150214,1.8316907652938488,0.6052394557672682,0.4340929555507649,
173,AB5,CeCo5,0.6,39.0,20.0,1.45,136.1269325000889,1.8963052000171792,0.6399073613516694,0.4339349340088148,
174,AB5,Ce1Mn0.75Ni4.25,1.4,24.7,23.0,1.1,84.19610455649183,1.1765682852439587,0.1626019685073058,1.0113028786107354,
175,AB5,Ce1Al0.5Ni4.5,1.4,21.6,23.0,9.0,91.20408665068317,9.545509532616563,2.2560708379023917,0.9806904752178648,
176,AB5,Ce1Mn0.5Ni4.5,1.2,25.4,23.0,7.0,101.94595400685084,7.501544948777111,2.0151089924988663,0.8669617202059636,
177,AB5,CeNi5,1.5,22.2,23.0,80.0,111.39487867658232,84.98778273149166,4.442507513589114,1.0917306220288456,
178,AB5,Dy1Ga0.75Ni4.25,0.8,30.1,20.0,6.0,117.57478311180084,7.380680490472258,1.9988658417426064,0.6190252176139273,
179,AB5,Dy1Al0.5Ni4.5,1.0,27.3,20.0,20.0,118.03338025307202,24.13282475943464,3.183572936997422,0.73504734731575,
180,AB5,DyAlNi4,0.8,35.4,20.0,0.6,116.5102060317342,0.7654801337418554,-0.2672520162239592,0.5657097235556409,
181,AB5,Er1Al1.5Ni3.5,0.7,39.8,115.0,2.5,110.15586556747688,0.0604138896551311,-2.806536239300719,0.48156331344877096,
182,AB5,Er1Al0.5Ni4.5,0.8,25.4,0.0,25.0,119.7514454824302,63.86015337360045,4.156695589000013,0.5931980570756529,
183,AB5,ErAlNi4,0.9,32.4,0.0,2.1,124.78473002740616,6.946315496186141,1.9382113745668057,0.6442118029527653,
184,AB5,EuNi5,1.2,26.0,25.0,1.3,89.38576551239456,1.2999999999999994,0.2623642644674905,0.8945259784075574,
185,AB5,Gd1Al0.5Ni4.5,0.9,32.7,20.0,7.0,127.72559597472969,8.76622359342541,2.1709061085644787,0.6529916109569459,
186,AB5,GdAlNi4,0.9,41.5,20.0,0.2,128.18462861724373,0.2660974772349265,-1.323892581558554,0.6291821912089761,
