Composition_Formula Ef
Mg2CoH6 -0.203219866826
Mg2ReH6 -0.100043279604
Mg2NiH6 -0.075725332382
Mg2H6Pb 0.654376913174
Mg2TiH6 0.037803294975
HfMg2H6 0.140644845951
Mg2H6Pd -0.00269127238204
Mg2MoH6 0.0390410387291
Mg2TaH6 0.128578334285
Mg2ZrH6 0.17220026984
Mg2MnH6 -0.173484278359
Mg2SnH6 0.488885737968
Mg2H6W 0.0714621298402
Ba2NbH6 -0.294333473678
Ba2CoH6 -0.446794404789
Ba2ReH6 -0.329212096456
Ba2NiH6 -0.387377962567
Ba2H6Pb 0.0211810952105
Ba2TiH6 -0.365190727432
Ba2HfH6 -0.275031389789
Ba2H6Pd -0.382526752567
Ba2MoH6 -0.276105417012
Ba2TaH6 -0.260789874789
Ba2ZrH6 -0.279385761456
Ba2MnH6 -0.370016441878
Ba2SnH6 -0.00171198332847
Ba2H6W -0.227691194789
Cs2TiH6 -0.018151904099
K2SnH6 0.0201116933382
Tl2H6W 0.396507358544
Na2FeH6 0.0104370072435
Na2NbH6 0.288289771688
Na2CoH6 -0.0347752794231
Na2H6Os 0.0993567227991
Na2ReH6 0.149848725577
Na2NiH6 -0.171434322756
Na2H6Pb 0.353911652799
Na2TiH6 0.0920141557117
Na2HfH6 0.088099366688
Na2H6Pd -0.198761760534
Na2MoH6 0.303913315021
Na2TaH6 0.233321951688
Na2ZrH6 0.153831957244
Na2H6Ru 0.133398727244
Na2MnH6 -0.045654714289
Na2H6W 0.291141007244
Cs2H6Pd -0.215083621456
K2FeH6 -0.0155502392339
K2NbH6 0.200513042988
K2CoH6 -0.0530049925672
K2NiH6 -0.186034404789
K2H6Pb 0.230393855211
K2H6Pd -0.223309729234
K2ZrH6 0.0333392840994
K2H6Ru 0.0953510663217
K2H6W 0.223844571877
Tl2MoH6 0.379134910766
Cs2FeH6 -0.0116731836783
Cs2NbH6 0.170061297433
Cs2H6Os 0.0543590429883
Cs2HfH6 -0.0723973909006
Cs2MoH6 0.216751837433
Cs2TaH6 0.118761549655
Cs2H6Ru 0.0915482107661
Tl2FeH6 0.331315182988
NbTl2H6 0.375184204099
Tl2CoH6 0.282062225211
Tl2H6Os 0.303358875211
Tl2ReH6 0.337865785766
Tl2NiH6 0.212971894099
Tl2H6Pb 0.557302511877
TiTl2H6 0.291940789234
HfTl2H6 0.273237636877
Tl2H6Pd 0.183909808544
TaTl2H6 0.352069516322
ZrTl2H6 0.311837655211
Tl2H6Ru 0.297180966322
MnTl2H6 0.294438077011
RbAlH2 -0.169253061717
RbFeH2 0.208077681408
RbMnH2 0.216937013585
RbCdH2 0.0109196189079
K2CoH4 -0.0498735041052
Rb2CrH4 -0.0273927612481
K2NiH4 -0.0966276369624
K2MoH4 0.096989021609
K2CaH4 -0.326023824105
K2FeH4 0.0167339930376
K2VH4 -0.093993068391
K2CrH4 -0.0682291026767
K2AgH4 0.00779514339476
K2ZrH4 -0.109163704105
