Composition_Formula Ef
YH3 -0.7021186222983333
Y3H -0.2872258490299995
Y10H21 -0.7843167959468819
Y3H2 -0.46416537044799994
ZrH2 -0.6456001657466661
ZrH3 -0.36748686646499973
ZrH -0.39303181431000045
ZrH2 -0.6524001157466662
ZrH -0.48905269430999976
NbH -0.22101851430999986
NbH4 0.2681839151040002
NbH2 -0.3228684524133338
MoH 0.4069713956900003
Mo3H 0.8524729703450014
Mo3H 0.8566702303450011
Tc3H 0.6761299203449997
HRh -0.030427739309999424
HPd -0.14110567430999943
HPd -0.16125029680999958
H4Pd3 -0.03528763635428537
H3Pd4 -0.13594457083714268
HPd3 0.44001966784500013
HPd3 0.44628361159500063
AgH 0.13389023152333346
CdH 0.3817748956900002
InH 0.3908480231900002
SnH4 0.06762790910400014
SnH4 0.26377930710400044
SnH4 0.07355609210400046
SnH4 0.3967955951040004
SbH3 0.7027473797849999
HI3 0.04885526284500008
HI -0.06385411368500016
CsH -0.2095827032755171
CsH3 0.6799552665522415
CsH -0.15761880327551703
BaH2 -0.5612871674133336
Ba3H 0.44665607534499996
BaH2 -0.5890339565799998
La2H5 -0.712757061157143
La2H5 -0.7130042475857142
La4H9 -0.7218401513523077
LaH3 -0.6776347127149998
LaH2 -0.7272055174133332
LaH3 -0.680712657715
CeH3 -0.5820720227149998
Ce4H11 -0.6045349396546669
CeH3 -0.5836214002149998
CeH2 -0.6076316307466664
Ce2H5 -0.6211473232999997
PrH3 -0.6051900827149996
PrH -0.4486343593100006
PrH2 -0.7075902974133333
Nd2H5 -0.6852775668714283
NdH3 -0.6565129810483329
NdH2 -0.723815632413333
PmH -0.4758157855599996
PmH3 -0.6261403358399997
SmH2 -0.7505692601911106
SmH3 -0.6283807247983333
SmH3 -0.6794227935483329
EuH2 -0.6566849124133327
EuH2 -0.6236447490800003
Eu3H 0.4529589840949999
GdH3 -0.6905099377149995
GdH2 -0.7624351990799999
GdH3 -0.6944834368816674
TbH2 -0.7835562857466662
TbH3 -0.6445060014649995
TbH3 -0.7007578289649992
TbH3 -0.709049356048333
Tb4H9 -0.7581913944292308
DyH3 -0.4723537364649997
DyH2 -0.7873806990799999
DyH3 -0.7125058589649994
HoH3 -0.7143056802149997
HoH2 -0.7893155124133333
ErH -0.4226812193099998
ErH3 -0.6383068889649994
ErH3 -0.5202047677149997
ErH -0.4007698693099999
ErH2 -0.7883337857466662
ErH2 -0.5806943757466664
ErH3 -0.7155815768816662
TmH2 -0.7870249301911111
TmH3 -0.7150155952150001
Yb3H 0.3886944115950002
YbH2 -0.6687306996355554
Yb3H8 -0.48129915990545435
YbH2 -0.6448278579688888
YbH3 -0.23969048063166642
YbH2 -0.704122456302222
LuH2 -0.77671540908
LuH3 -0.7074035906316661
LuH3 -0.6176193039650002
HfH3 -0.3246373814650001
HfH3 -0.3195240739650007
HfH2 -0.5799811424133333
HfH3 -0.33424532396500073
Ta2H -0.1372910928733333
TaH2 -0.1932965590800002
TaH4 0.23002737110400062
Ta2H -0.16102090287333345
Ta2H -0.1984715528733325
H6W 0.08702628046857137
H2W 0.19291481925333306
H4W 0.015427674104000033
H3W 0.1485989885350003
H5W 0.2230063344833333
HW 0.08127816068999927
H3W 0.09256836603500052
Re3H 0.7839270165950012
ReH3 0.39332708353499957
HOs3 0.8998928828450001
HIr 0.3477321731899998
H3Pt 0.3871709172850002
HPt3 0.5292226453450004
HPt3 0.525192137845
H4Pt 0.21801304843733363
TlH 0.36940194069
Tl3H 0.40324619284499974
Tl3H 0.4222201378449997
H3Pb 0.6633575210350005
HPb 0.4065973581900004
BiH3 0.6562166435350001
AcH2 -0.660614839913333
AcH3 -0.6507944120899998
ThH2 -0.5783572724133332
ThH3 -0.5317724139649993
ThH2 -0.5681817324133327
Th4H15 -0.5819293465421052
PaH3 -0.4650941311524992
Pa3H 0.5096778665949993
Pa3H 0.5050392653449993
UH3 -0.3507514911524998
UH3 -0.3776582527149994
Np3H 0.32503348128249954
NpH3 -0.3219807936525001
NpH2 -0.25164325866333453
NpH3 -0.3479156386525002
NpH3 -0.2988749161524993
PuH2 -0.469649785746667
PuH3 -0.473698685215
