,Alloy System,Composition_Formula,Processing Condition,SS or IM,Phases,# EL,# Phases,Property,References,Class
79,AlCoCrCuFeNiV,Al0.5CoCrCuFeNiV0.8,AC,SS+IM,BCC+FCC+s,7,3,"H, W",[16],3d_Transition_Metal_Alloy_Family
80,AlCoCrCuFeNiV,Al0.5CoCrCuFeNiV,AC,SS+IM,BCC+FCC+s,7,3,"H, W",[16],3d_Transition_Metal_Alloy_Family
81,AlCoCrCuFeNiV,Al0.5CoCrCuFeNiV1.2,AC,SS,BCC+FCC,7,2,"H, W",[16],3d_Transition_Metal_Alloy_Family
82,AlCoCrCuFeNiV,Al0.5CoCrCuFeNiV1.4,AC,SS,BCC+FCC,7,2,"H, W",[16],3d_Transition_Metal_Alloy_Family
83,AlCoCrCuFeNiV,Al0.5CoCrCuFeNiV1.6,AC,SS,BCC+FCC,7,2,"H, W",[16],3d_Transition_Metal_Alloy_Family
84,AlCoCrCuFeNiV,Al0.5CoCrCuFeNiV1.8,AC,SS,BCC+FCC,7,2,"H, W",[16],3d_Transition_Metal_Alloy_Family
85,AlCoCrCuFeNiV,Al0.5CoCrCuFeNiV2,AC,SS,BCC+FCC,7,2,"H, W",[16],3d_Transition_Metal_Alloy_Family
86,AlCoCrCuFeNiV,AlCoCrCuFeNiV,AC,SS,BCC+FCC,7,2,"H, W",[4],3d_Transition_Metal_Alloy_Family
87,AlCoCrCuNi,AlCoCrCu0.5Ni,AC,SS,BCC+FCC+B2,5,3,H,[12],3d_Transition_Metal_Alloy_Family
88,AlCoCrCuNi,AlCoCrCuNi,AC,SS,BCC+FCC,5,2,H,[25],3d_Transition_Metal_Alloy_Family
89,AlCoCrCuNiTi,AlCoCrCuNiTi,AC,SS,2BCC+FCC,6,3,M,[35],3d_Transition_Metal_Alloy_Family
90,AlCoCrCuNiTiY,AlCoCrCuNiTiY0.5,AC,SS+IM,BCC+FCC+C15+L21,7,4,M,[35],3d_Transition_Metal_Alloy_Family
91,AlCoCrCuNiTiY,AlCoCrCuNiTiY0.8,AC,SS+IM,BCC+C15+L21,7,3,M,[35],3d_Transition_Metal_Alloy_Family
92,AlCoCrCuNiTiY,AlCoCrCuNiTiY,AC,SS+IM,BCC+C15+L21+Unk,7,4,M,[35],3d_Transition_Metal_Alloy_Family
93,AlCoCrFeMnNi,Al0.02CoCrFeMnNi,AC,SS,FCC,6,1,"H, MT",[36],3d_Transition_Metal_Alloy_Family
94,AlCoCrFeMnNi,Al0.03CoCrFeMnNi,AC,SS,FCC,6,1,"H, MT",[36],3d_Transition_Metal_Alloy_Family
95,AlCoCrFeMnNi,Al0.04CoCrFeMnNi,AC,SS,FCC,6,1,"H, MT",[36],3d_Transition_Metal_Alloy_Family
96,AlCoCrFeMnNi,Al0.08CoCrFeMnNi,AC,SS,FCC,6,1,"H, MT",[36],3d_Transition_Metal_Alloy_Family
97,AlCoCrFeMnNi,Al0.09CoCrFeMnNi,AC,SS+IM,BCC+FCC+B2,6,3,"H, MT",[36],3d_Transition_Metal_Alloy_Family
98,AlCoCrFeMnNi,Al0.10CoCrFeMnNi,AC,SS+IM,BCC+FCC+B2,6,3,"H, MT",[36],3d_Transition_Metal_Alloy_Family
99,AlCoCrFeMnNi,Al0.11CoCrFeMnNi,AC,SS+IM,BCC+FCC+B2,6,3,"H, MT",[36],3d_Transition_Metal_Alloy_Family
100,AlCoCrFeMnNi,Al0.12CoCrFeMnNi,AC,SS+IM,BCC+FCC+B2,6,3,"H, MT",[36],3d_Transition_Metal_Alloy_Family
101,AlCoCrFeMnNi,Al0.14CoCrFeMnNi,AC,SS+IM,BCC+FCC+B2,6,3,"H, MT",[36],3d_Transition_Metal_Alloy_Family
102,AlCoCrFeMnNi,Al0.15CoCrFeMnNi,AC,SS+IM,BCC+FCC+B2,6,3,"H, MT",[36],3d_Transition_Metal_Alloy_Family
103,AlCoCrFeMnNi,Al0.16CoCrFeMnNi,AC,SS+IM,BCC+B2,6,2,"H, MT",[36],3d_Transition_Metal_Alloy_Family
104,AlCoCrFeMnNi,Al0.18CoCrFeMnNi,AC,SS+IM,BCC+B2,6,2,"H, MT",[36],3d_Transition_Metal_Alloy_Family
105,AlCoCrFeMnNi,Al0.19CoCrFeMnNi,AC,SS+IM,BCC+B2,6,2,"H, MT",[36],3d_Transition_Metal_Alloy_Family
106,AlCoCrFeMnNi,Al0.25CoCrFeMnNi,AC,SS+IM,BCC+B2,6,2,"H, MT",[36],3d_Transition_Metal_Alloy_Family
107,AlCoCrFeMnNiV,Al0.4CoCrFeMnNiV,AC+700C/20h,IM,σ,7,1,H,[37],3d_Transition_Metal_Alloy_Family
108,AlCoCrFeMnNiV,AlCo0.5Cr0.5Fe0.5MnNiV0.5,AC+700C/20h,SS,BCC,7,1,H,[37],3d_Transition_Metal_Alloy_Family
109,AlCoCrFeMnNiV,AlCo0.5Cr0.5Fe0.5MnNiV,AC+700C/20h,SS,BCC,7,1,H,[37],3d_Transition_Metal_Alloy_Family
110,AlCoCrFeMnNiV,AlCo1.5Cr2Fe1.5Mn2NiV,AC+700C/20h,IM,σ,7,1,H,[37],3d_Transition_Metal_Alloy_Family
111,AlCoCrFeMoNi,Al0.3CoCrFeMo0.1Ni,AC,SS,FCC,6,1,H,[38],3d_Transition_Metal_Alloy_Family
112,AlCoCrFeMoNi,AlCo0.5CrFeMo0.5Ni,AC,SS+IM,BCC+B2+σ,6,3,H,[40],3d_Transition_Metal_Alloy_Family
113,AlCoCrFeMoNi,AlCoCr0.5FeMo0.5Ni,AC,IM,B2+σ,6,2,H,[41],3d_Transition_Metal_Alloy_Family
114,AlCoCrFeMoNi,AlCoCrFe0.6Mo0.5Ni,AC,IM,B2+σ,6,2,"H, W",[42],3d_Transition_Metal_Alloy_Family
115,AlCoCrFeMoNi,AlCoCrFeMo0.1Ni,AC,SS,BCC,6,1,"DSC, M",[43],3d_Transition_Metal_Alloy_Family
116,AlCoCrFeMoNi,AlCoCrFeMo0.2Ni,AC,SS+IM,BCC+IM,6,2,"DSC, M",[43],3d_Transition_Metal_Alloy_Family
117,AlCoCrFeMoNi,AlCoCrFeMo0.3Ni,AC,SS+IM,BCC+IM,6,2,"DSC, M",[43],3d_Transition_Metal_Alloy_Family
118,AlCoCrFeMoNi,AlCoCrFeMo0.4Ni,AC,SS+IM,BCC+IM,6,2,"DSC, M",[43],3d_Transition_Metal_Alloy_Family
119,AlCoCrFeMoNi,AlCoCrFeMo0.5Ni,AC,SS+IM,BCC+IM,6,2,"DSC, M",[43],3d_Transition_Metal_Alloy_Family
120,AlCoCrFeMoNi,AlCoCrFe1.5Mo0.5Ni,AC,SS+IM,BCC+σ,6,2,"H, W",[42],3d_Transition_Metal_Alloy_Family
