Alloy System,Composition_Formula,Processing Condition,SS or IM,Phases,# EL,# Phases,Property,References,Class
,Al0.5CoCrCuFeNiTi1.8,AC,SS+IM,BCC+FCC+B2+NiTi2,7,4,"H, W",[15],3d_Transition_Metal_Alloy_Family
,Al0.5CoCrCuFeNiTi2.0,AC,SS+IM,BCC+FCC+B2+NiTi2,7,4,"H, W",[15],3d_Transition_Metal_Alloy_Family
,Al0.75CoCrCu0.25FeNiTi0.5,AC,SS,2BCC,7,2,M,[33],3d_Transition_Metal_Alloy_Family
,AlCoCrCu0.25FeNiTi0.5,AC,SS,2BCC,7,2,M,[34],3d_Transition_Metal_Alloy_Family
,AlCoCrCu0.5FeNiTi0.5,AC,SS,2BCC,7,2,M,[34],3d_Transition_Metal_Alloy_Family
,AlCoCrCuFeNiTi,AC,SS+IM,BCC+FCC+B2,7,3,,[4],3d_Transition_Metal_Alloy_Family
AlCoCrCuFeNiTiMnV,Al0.125CoCrCuFeNiTiMnV,AC,SS,BCC+FCC,9,2,M,[5],3d_Transition_Metal_Alloy_Family
,Al0.25CoCrCuFeNiTiMnV,AC,SS,BCC,9,1,M,[5],3d_Transition_Metal_Alloy_Family
,Al0.67CoCrCuFeNiTiMnV,AC,SS,BCC+D022+Unk,9,3,M,[5],3d_Transition_Metal_Alloy_Family
AlCoCrCuFeNiTiV,AlCoCrCuFeNiTiV,AC,SS,BCC+FCC,8,2,H,[12],3d_Transition_Metal_Alloy_Family
,,SQ,SS,BCC,8,1,H,[12],3d_Transition_Metal_Alloy_Family
AlCoCrCuFeNiV,Al0.5CoCrCuFeNiV0.2,AC,SS,2FCC,7,2,"H, W",[16],3d_Transition_Metal_Alloy_Family
,Al0.5CoCrCuFeNiV0.4,AC,SS,BCC+FCC,7,2,"H, W",[16],3d_Transition_Metal_Alloy_Family
,Al0.5CoCrCuFeNiV0.6,AC,SS+IM,BCC+FCC+s,7,3,"H, W",[16],3d_Transition_Metal_Alloy_Family
,Al0.5CoCrCuFeNiV0.8,AC,SS+IM,BCC+FCC+s,7,3,"H, W",[16],3d_Transition_Metal_Alloy_Family
,Al0.5CoCrCuFeNiV,AC,SS+IM,BCC+FCC+s,7,3,"H, W",[16],3d_Transition_Metal_Alloy_Family
,Al0.5CoCrCuFeNiV1.2,AC,SS,BCC+FCC,7,2,"H, W",[16],3d_Transition_Metal_Alloy_Family
,Al0.5CoCrCuFeNiV1.4,AC,SS,BCC+FCC,7,2,"H, W",[16],3d_Transition_Metal_Alloy_Family
,Al0.5CoCrCuFeNiV1.6,AC,SS,BCC+FCC,7,2,"H, W",[16],3d_Transition_Metal_Alloy_Family
,Al0.5CoCrCuFeNiV1.8,AC,SS,BCC+FCC,7,2,"H, W",[16],3d_Transition_Metal_Alloy_Family
,Al0.5CoCrCuFeNiV2,AC,SS,BCC+FCC,7,2,"H, W",[16],3d_Transition_Metal_Alloy_Family
,AlCoCrCuFeNiV,AC,SS,BCC+FCC,7,2,,[4],3d_Transition_Metal_Alloy_Family
AlCoCrCuNi,AlCoCrCu0.5Ni,AC,SS+IM,BCC+FCC+B2,5,3,H,[12],3d_Transition_Metal_Alloy_Family
,,AC,SS+IM,BCC+FCC+B2,5,3,,[2],3d_Transition_Metal_Alloy_Family
,,SP,SS,BCC,5,1,H,[12],3d_Transition_Metal_Alloy_Family
,AlCoCrCuNi,AC,SS,BCC+FCC,5,2,,[25],3d_Transition_Metal_Alloy_Family
,,AC,SS+IM,BCC+FCC+B2,5,3,H,[1],3d_Transition_Metal_Alloy_Family
AlCoCrCuNiTi,AlCoCrCuNiTi,AC,SS,2BCC+FCC,6,3,M,[35],3d_Transition_Metal_Alloy_Family
AlCoCrCuNiTiY,AlCoCrCuNiTiY0.5,AC,SS+IM,BCC+FCC+C15+L21,7,4,M,[35],3d_Transition_Metal_Alloy_Family
,AlCoCrCuNiTiY0.8,AC,SS+IM,BCC+C15+L21,7,3,M,[35],3d_Transition_Metal_Alloy_Family
,AlCoCrCuNiTiY,AC,SS+IM,BCC+C15+L21+Unk,7,4,M,[35],3d_Transition_Metal_Alloy_Family
AlCoCrFeMnNi,Al0.02CoCrFeMnNi,AC,SS,FCC,6,1,"H, MT",[36],3d_Transition_Metal_Alloy_Family
,Al0.03CoCrFeMnNi,AC,SS,FCC,6,1,"H, MT",[36],3d_Transition_Metal_Alloy_Family
,Al0.04CoCrFeMnNi,AC,SS,FCC,6,1,"H, MT",[36],3d_Transition_Metal_Alloy_Family
,Al0.08CoCrFeMnNi,AC,SS,FCC,6,1,"H, MT",[36],3d_Transition_Metal_Alloy_Family
,Al0.09CoCrFeMnNi,AC,SS+IM,BCC+FCC+B2,6,3,"H, MT",[36],3d_Transition_Metal_Alloy_Family
,Al0.10CoCrFeMnNi,AC,SS+IM,BCC+FCC+B2,6,3,"H, MT",[36],3d_Transition_Metal_Alloy_Family
