,Composition_Formula,GBTPredict
471,MgCoMoHf,1.0
472,MgCoMoTa,1.0
473,MgCoPdHf,1.0
474,MgCoPdTa,1.0
475,MgCoHfTa,1.0
476,MgNiCuZn,1.0
477,MgNiCuZr,2.0
478,MgNiCuNb,2.0
479,MgNiCuMo,2.0
480,MgNiCuPd,2.0
481,MgNiCuHf,1.0
482,MgNiCuTa,1.0
483,MgNiZnZr,2.0
484,MgNiZnNb,2.0
485,MgNiZnMo,2.0
486,MgNiZnPd,2.0
487,MgNiZnHf,1.0
488,MgNiZnTa,1.0
489,MgNiZrNb,1.0
490,MgNiZrMo,2.0
491,MgNiZrPd,2.0
492,MgNiZrHf,1.0
493,MgNiZrTa,1.0
494,MgNiNbMo,2.0
495,MgNiNbPd,2.0
496,MgNiNbHf,1.0
497,MgNiNbTa,1.0
498,MgNiMoPd,2.0
499,MgNiMoHf,1.0
500,MgNiMoTa,1.0
501,MgNiPdHf,1.0
502,MgNiPdTa,1.0
503,MgNiHfTa,1.0
504,MgCuZnZr,2.0
505,MgCuZnNb,2.0
506,MgCuZnMo,2.0
507,MgCuZnPd,2.0
508,MgCuZnHf,1.0
509,MgCuZnTa,1.0
510,MgCuZrNb,2.0
511,MgCuZrMo,2.0
512,MgCuZrPd,2.0
513,MgCuZrHf,1.0
514,MgCuZrTa,1.0
515,MgCuNbMo,2.0
516,MgCuNbPd,2.0
517,MgCuNbHf,1.0
518,MgCuNbTa,1.0
519,MgCuMoPd,2.0
520,MgCuMoHf,1.0
521,MgCuMoTa,1.0
522,MgCuPdHf,1.0
523,MgCuPdTa,1.0
524,MgCuHfTa,1.0
525,MgZnZrNb,1.0
526,MgZnZrMo,1.0
527,MgZnZrPd,2.0
528,MgZnZrHf,1.0
529,MgZnZrTa,1.0
530,MgZnNbMo,2.0
531,MgZnNbPd,2.0
532,MgZnNbHf,1.0
533,MgZnNbTa,1.0
534,MgZnMoPd,2.0
535,MgZnMoHf,1.0
536,MgZnMoTa,1.0
537,MgZnPdHf,1.0
538,MgZnPdTa,1.0
539,MgZnHfTa,1.0
540,MgZrNbMo,2.0
541,MgZrNbPd,1.0
542,MgZrNbHf,1.0
543,MgZrNbTa,1.0
544,MgZrMoPd,1.0
545,MgZrMoHf,1.0
546,MgZrMoTa,1.0
547,MgZrPdHf,1.0
548,MgZrPdTa,1.0
549,MgZrHfTa,1.0
550,MgNbMoPd,2.0
551,MgNbMoHf,2.0
552,MgNbMoTa,1.0
553,MgNbPdHf,1.0
554,MgNbPdTa,1.0
555,MgNbHfTa,1.0
556,MgMoPdHf,1.0
557,MgMoPdTa,1.0
558,MgMoHfTa,1.0
559,MgPdHfTa,1.0
560,AlTiVCr,0.0
561,AlTiVMn,1.0
562,AlTiVFe,1.0
563,AlTiVCo,1.0
564,AlTiVNi,2.0
565,AlTiVCu,2.0
566,AlTiVZn,1.0
567,AlTiVZr,0.0
568,AlTiVNb,1.0
569,AlTiVMo,1.0
570,AlTiVPd,1.0
571,AlTiVHf,1.0
572,AlTiVTa,1.0
573,AlTiCrMn,2.0
574,AlTiCrFe,2.0
575,AlTiCrCo,2.0
576,AlTiCrNi,2.0
577,AlTiCrCu,2.0
578,AlTiCrZn,2.0
579,AlTiCrZr,0.0
580,AlTiCrNb,2.0
581,AlTiCrMo,2.0
582,AlTiCrPd,2.0
583,AlTiCrHf,1.0
584,AlTiCrTa,1.0
585,AlTiMnFe,2.0
586,AlTiMnCo,2.0
587,AlTiMnNi,2.0
588,AlTiMnCu,2.0
589,AlTiMnZn,2.0
590,AlTiMnZr,0.0
591,AlTiMnNb,1.0
592,AlTiMnMo,0.0
593,AlTiMnPd,2.0
594,AlTiMnHf,1.0
595,AlTiMnTa,1.0
596,AlTiFeCo,1.0
597,AlTiFeNi,2.0
598,AlTiFeCu,2.0
599,AlTiFeZn,2.0
600,AlTiFeZr,0.0
601,AlTiFeNb,1.0
602,AlTiFeMo,2.0
603,AlTiFePd,2.0
604,AlTiFeHf,1.0
605,AlTiFeTa,1.0
606,AlTiCoNi,2.0
607,AlTiCoCu,2.0
608,AlTiCoZn,1.0
609,AlTiCoZr,2.0
610,AlTiCoNb,2.0
611,AlTiCoMo,2.0
612,AlTiCoPd,2.0
613,AlTiCoHf,1.0
614,AlTiCoTa,1.0
615,AlTiNiCu,2.0
616,AlTiNiZn,2.0
617,AlTiNiZr,2.0
618,AlTiNiNb,2.0
619,AlTiNiMo,2.0
620,AlTiNiPd,2.0
621,AlTiNiHf,1.0
622,AlTiNiTa,1.0
623,AlTiCuZn,2.0
